1)       [17]   --->     [17],                          in: [17], out: []
2)       [12]   --->     [17, 12],                      in: [12], out: []
3)       [9]    --->     [17, 12, 9],                   in: [9], out: []
4)       [14]   --->     [17, 12, 9, 14],               in: [14], out: []
5)       [8]    --->     [17, 12, 9, 14, 8],            in: [8], out: []
6)       [5]    --->     [17, 12, 9, 14, 8, 5],         in: [5], out: []
7)       [1]    --->     [17, 12, 9, 14, 5, 1],         in: [1], out: [8]
8)       [19]   --->     [17, 12, 9, 14, 5, 19],        in: [19], out: [1]
9)       [17]   --->     [17, 12, 9, 14, 5, 19],        in: [], out: []
10)      [16]   --->     [12, 9, 14, 5, 19, 16],        in: [16], out: [17]
11)      [15]   --->     [12, 9, 14, 5, 16, 15],        in: [15], out: [19]
12)      [5]    --->     [12, 9, 14, 5, 16, 15],        in: [], out: []
13)      [9]    --->     [12, 9, 14, 5, 16, 15],        in: [], out: []
14)      [18]   --->     [12, 9, 14, 5, 15, 18],        in: [18], out: [16]
15)      [9]    --->     [12, 9, 14, 5, 15, 18],        in: [], out: []
16)      [4]    --->     [12, 9, 14, 5, 15, 4],         in: [4], out: [18]
17)      [5]    --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
18)      [4]    --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
19)      [9]    --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
20)      [12]   --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
21)      [15]   --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
22)      [5]    --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
23)      [9]    --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
24)      [14]   --->     [12, 9, 14, 5, 15, 4],         in: [], out: []
25)      [10]   --->     [12, 9, 5, 15, 4, 10],         in: [10], out: [14]
26)      [6]    --->     [12, 9, 15, 4, 10, 6],         in: [6], out: [5]
27)      [13]   --->     [12, 9, 4, 10, 6, 13],         in: [13], out: [15]
28)      [1]    --->     [12, 9, 4, 10, 13, 1],         in: [1], out: [6]
29)      [7]    --->     [12, 9, 10, 13, 1, 7],         in: [7], out: [4]
30)      [12]   --->     [12, 9, 10, 13, 1, 7],         in: [], out: []
31)      [16]   --->     [12, 9, 10, 13, 1, 16],        in: [16], out: [7]
32)      [12]   --->     [12, 9, 10, 13, 1, 16],        in: [], out: []
33)      [13]   --->     [12, 9, 10, 13, 1, 16],        in: [], out: []
34)      [19]   --->     [9, 10, 13, 1, 16, 19],        in: [19], out: [12]
35)      [10]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
36)      [16]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
37)      [13]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
38)      [16]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
39)      [1]    --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
40)      [19]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
41)      [10]   --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
42)      [9]    --->     [9, 10, 13, 1, 16, 19],        in: [], out: []
43)      [7]    --->     [9, 13, 1, 16, 19, 7],         in: [7], out: [10]
44)      [19]   --->     [9, 13, 1, 16, 19, 7],         in: [], out: []
45)      [7]    --->     [9, 13, 1, 16, 19, 7],         in: [], out: []
46)      [4]    --->     [9, 1, 16, 19, 7, 4],          in: [4], out: [13]
47)      [17]   --->     [9, 16, 19, 7, 4, 17],         in: [17], out: [1]
48)      [9]    --->     [9, 16, 19, 7, 4, 17],         in: [], out: []
49)      [2]    --->     [16, 19, 7, 4, 17, 2],         in: [2], out: [9]

Количество замен страниц: 23
