time    CPU1    CPU2    CPU3    CPU4    IO1     IO2
1       1       0       0       0       0       0
2       1       0       0       0       0       0
3       1       2       0       0       0       0
4       1       2       0       0       0       0
5       1       3       0       0       0       2
6       1       3       0       0       0       2
7       1       3       4       0       0       2
8       1       3       4       0       0       2
9       1       5       0       0       4       2
10      1       5       0       0       4       2
11      1       5       6       0       4       2
12      1       5       6       0       4       2
13      1       5       6       0       4       2
14      1       5       6       0       4       2
15      1       5       0       0       4       2
16      1       5       0       0       4       2
17      1       5       0       0       4       2
18      1       5       0       0       4       2
19      1       5       4       0       0       2
20      1       5       4       0       0       2
21      1       0       0       0       5       2
22      1       0       0       0       5       2
23      1       0       0       0       5       2
24      1       0       0       0       5       2
25      1       2       0       0       5       3
26      1       2       0       0       5       3
27      1       2       0       0       5       3
28      1       2       0       0       5       3
29      1       2       0       0       5       3
30      1       2       0       0       5       3
31      1       0       0       0       5       3
32      1       0       0       0       5       3
33      1       0       0       0       5       3
34      1       0       0       0       5       3
35      1       5       0       0       2       3
36      1       5       0       0       2       3
37      1       5       0       0       2       3
38      1       5       0       0       2       3
39      1       5       0       0       2       3
40      1       5       0       0       2       3
41      1       5       3       0       2       6
42      1       5       3       0       2       6
43      1       5       3       0       2       6
44      1       5       3       0       2       6
45      1       5       2       0       0       6
46      1       5       2       0       0       6
47      1       0       2       0       0       6
48      1       0       2       0       0       6
49      0       0       2       0       1       6
50      0       0       2       0       1       6
51      0       0       2       0       1       6
52      0       0       2       0       1       6
53      0       0       2       0       1       6
54      0       0       2       0       1       6
55      0       0       0       0       1       6
56      0       0       0       0       1       6
57      6       0       0       0       1       4
58      6       0       0       0       1       4
59      0       0       0       0       1       4
60      0       0       0       0       1       4
61      0       0       0       0       1       4
62      0       0       0       0       1       4
63      1       0       0       0       0       4
64      1       0       0       0       0       4
65      1       0       0       0       0       4
66      1       0       0       0       0       4
67      1       0       0       0       0       4
68      1       0       0       0       0       4
69      1       0       0       0       0       4
70      1       0       0       0       0       4
71      1       0       0       0       0       4
72      1       0       0       0       0       4
73      1       0       0       0       0       4
74      1       0       0       0       0       4
75      1       4       0       0       0       3
76      1       4       0       0       0       3
77      1       0       0       0       0       3
78      1       0       0       0       0       3
79      1       0       0       0       0       3
80      1       0       0       0       0       3
81      1       0       0       0       0       3
82      1       0       0       0       0       3
83      1       0       0       0       0       3
84      1       0       0       0       0       3
85      1       0       0       0       0       3
86      1       0       0       0       0       3
87      0       0       0       0       0       3
88      0       0       0       0       0       3
89      0       0       0       0       0       3
90      0       0       0       0       0       3
91      3       0       0       0       0       5
92      3       0       0       0       0       5
93      3       0       0       0       0       5
94      3       0       0       0       0       5
95      3       0       0       0       0       5
96      3       0       0       0       0       5
97      3       0       0       0       0       5
98      3       0       0       0       0       5
99      3       0       0       0       0       5
100     3       0       0       0       0       5
101     0       0       0       0       0       5
102     0       0       0       0       0       5
103     5       0       0       0       0       2
104     5       0       0       0       0       2
105     5       0       0       0       0       2
106     5       0       0       0       0       2
107     5       0       0       0       0       2
108     5       0       0       0       0       2
109     5       0       0       0       0       2
110     5       0       0       0       0       2
111     5       0       0       0       0       2
112     5       0       0       0       0       2
113     5       2       0       0       0       6
114     5       2       0       0       0       6
115     5       2       0       0       0       6
116     5       2       0       0       0       6
117     5       2       0       0       0       6
118     5       2       0       0       0       6
119     5       0       0       0       2       6
120     5       0       0       0       2       6
121     5       0       0       0       2       6
122     5       0       0       0       2       6
123     5       0       0       0       2       6
124     5       0       0       0       2       6
125     5       0       0       0       2       6
126     5       0       0       0       2       6
127     5       0       0       0       2       6
128     5       0       0       0       2       6
129     5       0       0       0       0       6
130     5       0       0       0       0       6
131     5       6       0       0       0       4
132     5       6       0       0       0       4
133     5       6       0       0       0       4
134     5       6       0       0       0       4
135     5       6       0       0       0       4
136     5       6       0       0       0       4
137     5       0       0       0       6       4
138     5       0       0       0       6       4
139     0       0       0       0       6       4
140     0       0       0       0       6       4
141     0       0       0       0       6       4
142     0       0       0       0       6       4
143     0       0       0       0       6       4
144     0       0       0       0       6       4
145     0       0       0       0       6       4
146     0       0       0       0       6       4
147     4       0       0       0       6       1
148     4       0       0       0       6       1
149     4       6       0       0       5       1
150     4       6       0       0       5       1
151     4       6       0       0       5       1
152     4       6       0       0       5       1
153     4       6       0       0       5       1
154     4       6       0       0       5       1
155     0       6       0       0       5       1
156     0       6       0       0       5       1
157     0       6       0       0       5       1
158     0       6       0       0       5       1
159     5       0       0       0       6       1
160     5       0       0       0       6       1
161     5       0       0       0       6       1
162     5       0       0       0       6       1
163     5       1       0       0       6       3
164     5       1       0       0       6       3
165     5       1       0       0       6       3
166     5       1       0       0       6       3
167     5       1       0       0       6       3
168     5       1       0       0       6       3
169     5       1       0       0       6       3
170     5       1       0       0       6       3
171     5       1       0       0       6       3
172     5       1       0       0       6       3
173     5       1       0       0       6       3
174     5       1       0       0       6       3
175     5       1       0       0       6       3
176     5       1       0       0       6       3
177     5       1       3       0       0       4
178     5       1       3       6       0       4
179     5       1       3       6       0       4
180     5       1       3       6       0       4
181     5       1       0       6       3       4
182     5       1       0       0       3       4
183     5       1       0       0       3       4
184     5       1       0       0       3       4
185     5       1       0       0       3       4
186     5       1       0       0       3       4
187     5       1       0       0       3       4
188     5       1       0       0       3       4
189     5       1       0       0       3       4
190     5       1       0       0       3       4
191     5       1       0       0       3       4
192     5       1       0       0       3       4
193     5       1       3       0       6       4
194     5       1       3       0       6       4
195     0       1       3       0       6       5
196     0       1       3       0       6       5
197     0       1       3       0       6       5
198     0       1       3       0       6       5
199     0       1       0       0       6       5
200     0       1       0       0       6       5
201     0       1       0       0       6       5
202     0       1       0       0       6       5
203     0       1       0       0       6       5
204     0       1       0       0       6       5
205     0       1       0       0       6       5
206     0       1       0       0       6       5
207     0       1       0       0       6       5
208     0       1       0       0       6       5
209     0       1       0       0       6       5
210     0       1       0       0       6       5
211     0       1       0       0       0       3
212     0       1       0       0       0       3
213     0       1       0       0       0       3
214     0       1       0       0       0       3
215     0       1       0       0       0       3
216     0       1       0       0       0       3
217     0       1       0       0       0       3
218     0       1       0       0       0       3
219     0       1       0       0       0       3
220     0       1       0       0       0       3
221     0       1       0       0       0       3
222     0       1       0       0       0       3
223     0       0       0       0       0       3
224     0       0       0       0       0       3
225     0       0       0       0       0       3
226     0       0       0       0       0       3
227     0       0       0       0       0       3
228     0       0       0       0       0       3
229     3       0       0       0       0       1
230     3       0       0       0       0       1
231     3       0       0       0       0       1
232     3       0       0       0       0       1
233     3       0       0       0       0       1
234     3       0       0       0       0       1
235     0       0       0       0       0       1
236     0       0       0       0       0       1
237     0       0       0       0       0       1
238     0       0       0       0       0       1
239     0       0       0       0       0       1
240     0       0       0       0       0       1
241     0       0       0       0       0       1
242     0       0       0       0       0       1
243     0       0       0       0       0       1
244     0       0       0       0       0       1
245     0       0       0       0       0       1
246     0       0       0       0       0       1
247     0       0       0       0       0       1
248     0       0       0       0       0       1
249     1       0       0       0       0       3
250     1       0       0       0       0       3
251     1       0       0       0       0       3
252     1       0       0       0       0       3
253     1       0       0       0       0       3
254     1       0       0       0       0       3
255     1       0       0       0       0       3
256     1       0       0       0       0       3
257     1       0       0       0       0       3
258     1       0       0       0       0       3
259     1       0       0       0       0       3
260     1       0       0       0       0       3
261     1       0       0       0       0       3
262     1       0       0       0       0       3
263     1       0       0       0       0       3
264     1       0       0       0       0       3
265     1       3       0       0       0       0
266     1       3       0       0       0       0
267     1       3       0       0       0       0
268     1       3       0       0       0       0
269     1       3       0       0       0       0
270     1       3       0       0       0       0
271     1       3       0       0       0       0
272     1       3       0       0       0       0
273     1       3       0       0       0       0
274     1       3       0       0       0       0
275     1       0       0       0       0       3
276     1       0       0       0       0       3
277     1       0       0       0       0       3
278     1       0       0       0       0       3
279     1       0       0       0       0       3
280     1       0       0       0       0       3
281     1       0       0       0       0       3
282     1       0       0       0       0       3
283     1       0       0       0       0       3
284     1       0       0       0       0       3
285     1       0       0       0       0       3
286     1       0       0       0       0       3
287     1       0       0       0       0       3
288     1       0       0       0       0       3
289     1       0       0       0       0       3
290     1       0       0       0       0       3
291     1       0       0       0       0       0
292     1       0       0       0       0       0
293     1       0       0       0       0       0
294     1       0       0       0       0       0
295     1       0       0       0       0       0
296     1       0       0       0       0       0
297     0       0       0       0       1       0
298     0       0       0       0       1       0
299     0       0       0       0       1       0
300     0       0       0       0       1       0
301     0       0       0       0       1       0
302     0       0       0       0       1       0
303     0       0       0       0       1       0
304     0       0       0       0       1       0
305     0       0       0       0       1       0
306     0       0       0       0       1       0
307     0       0       0       0       1       0
308     0       0       0       0       1       0
309     1       0       0       0       0       0
310     1       0       0       0       0       0
311     1       0       0       0       0       0
312     1       0       0       0       0       0
313     1       0       0       0       0       0
314     1       0       0       0       0       0
315     1       0       0       0       0       0
316     1       0       0       0       0       0
317     1       0       0       0       0       0
318     1       0       0       0       0       0
319     1       0       0       0       0       0
320     1       0       0       0       0       0
321     1       0       0       0       0       0
322     1       0       0       0       0       0
323     1       0       0       0       0       0
324     1       0       0       0       0       0
325     1       0       0       0       0       0
326     1       0       0       0       0       0
327     1       0       0       0       0       0
328     1       0       0       0       0       0
329     1       0       0       0       0       0
330     1       0       0       0       0       0
331     1       0       0       0       0       0
332     1       0       0       0       0       0
333     0       0       0       0       0       1
334     0       0       0       0       0       1
335     0       0       0       0       0       1
336     0       0       0       0       0       1
337     0       0       0       0       0       1
338     0       0       0       0       0       1
339     0       0       0       0       0       1
340     0       0       0       0       0       1
341     0       0       0       0       0       1
342     0       0       0       0       0       1
343     0       0       0       0       0       1
344     0       0       0       0       0       1
345     0       0       0       0       0       1
346     0       0       0       0       0       1
347     0       0       0       0       0       1
348     0       0       0       0       0       1
349     0       0       0       0       0       1
350     0       0       0       0       0       1
Время до завершения всех процессов: 350
Время обслуживания процесса 1: 284
Время обслуживания процесса 2: 74
Время обслуживания процесса 3: 152
Время обслуживания процесса 4: 76
Время обслуживания процесса 5: 148
Время обслуживания процесса 6: 108
Время оборота процесса 1: 349
Время оборота процесса 2: 125
Время оборота процесса 3: 285
Время оборота процесса 4: 187
Время оборота процесса 5: 201
Время оборота процесса 6: 199
Время простоя 1: 65
Время простоя 2: 51
Время простоя 3: 133
Время простоя 4: 111
Время простоя 5: 53
Время простоя 6: 91
Коэффициент голодания 1: 1.2288732394366197
Коэффициент голодания 2: 1.6891891891891893
Коэффициент голодания 3: 1.875
Коэффициент голодания 4: 2.460526315789474
Коэффициент голодания 5: 1.3581081081081081
Коэффициент голодания 6: 1.8425925925925926
