time    CPU1    CPU2    CPU3    CPU4    IO1     IO2
1       1       0       0       0       0       0
2       1       0       0       0       0       0
3       1       2       0       0       0       0
4       1       2       0       0       0       0
5       1       3       0       0       0       2
6       1       3       0       0       0       2
7       1       3       4       0       0       2
8       1       3       4       0       0       2
9       1       5       0       0       4       2
10      1       5       0       0       4       2
11      1       5       6       0       4       2
12      1       5       6       0       4       2
13      1       5       6       0       4       2
14      1       5       6       0       4       2
15      1       5       0       0       4       2
16      1       5       0       0       4       2
17      1       5       0       0       4       2
18      1       5       0       0       4       2
19      1       5       4       0       0       2
20      1       5       4       0       0       2
21      1       0       0       0       5       2
22      1       0       0       0       5       2
23      1       0       0       0       5       2
24      1       0       0       0       5       2
25      1       2       0       0       5       3
26      1       2       0       0       5       3
27      1       2       0       0       5       3
28      1       2       0       0       5       3
29      1       2       0       0       5       3
30      1       2       0       0       5       3
31      1       0       0       0       5       3
32      1       0       0       0       5       3
33      1       0       0       0       5       3
34      1       0       0       0       5       3
35      1       5       0       0       2       3
36      1       5       0       0       2       3
37      1       5       0       0       2       3
38      1       5       0       0       2       3
39      1       5       0       0       2       3
40      1       5       0       0       2       3
41      1       5       3       0       2       6
42      1       5       3       0       2       6
43      1       5       3       0       2       6
44      1       5       3       0       2       6
45      1       5       2       0       0       6
46      1       5       2       0       0       6
47      1       0       2       0       0       6
48      1       0       2       0       0       6
49      0       0       2       0       1       6
50      0       0       2       0       1       6
51      0       0       2       0       1       6
52      0       0       2       0       1       6
53      0       0       2       0       1       6
54      0       0       2       0       1       6
55      0       0       0       0       1       6
56      0       0       0       0       1       6
57      6       0       0       0       1       2
58      6       0       0       0       1       2
59      0       0       0       0       1       2
60      0       0       0       0       1       2
61      0       0       0       0       1       2
62      0       0       0       0       1       2
63      1       0       0       0       0       2
64      1       0       0       0       0       2
65      1       0       0       0       0       2
66      1       0       0       0       0       2
67      1       2       0       0       0       5
68      1       2       0       0       0       5
69      1       2       0       0       0       5
70      1       2       0       0       0       5
71      1       2       0       0       0       5
72      1       2       0       0       0       5
73      1       0       0       0       2       5
74      1       0       0       0       2       5
75      1       0       0       0       2       5
76      1       0       0       0       2       5
77      1       0       0       0       2       5
78      1       0       0       0       2       5
79      1       5       0       0       2       3
80      1       5       0       0       2       3
81      1       5       0       0       2       3
82      1       5       0       0       2       3
83      1       5       0       0       0       3
84      1       5       0       0       0       3
85      1       5       0       0       0       3
86      1       5       0       0       0       3
87      0       5       0       0       0       3
88      0       5       0       0       0       3
89      0       5       0       0       0       3
90      0       5       0       0       0       3
91      0       5       0       0       0       3
92      0       5       0       0       0       3
93      0       5       0       0       0       3
94      0       5       0       0       0       3
95      3       5       0       0       0       1
96      3       5       0       0       0       1
97      3       5       0       0       0       1
98      3       5       0       0       0       1
99      3       5       0       0       0       1
100     3       5       0       0       0       1
101     3       5       0       0       0       1
102     3       5       0       0       0       1
103     3       5       0       0       0       1
104     3       5       0       0       0       1
105     0       5       0       0       0       1
106     0       5       0       0       0       1
107     0       5       0       0       0       1
108     0       5       0       0       0       1
109     0       5       0       0       0       1
110     0       5       0       0       0       1
111     1       5       0       0       0       3
112     1       5       0       0       0       3
113     1       5       0       0       0       3
114     1       5       0       0       0       3
115     1       0       0       0       5       3
116     1       0       0       0       5       3
117     1       0       0       0       5       3
118     1       0       0       0       5       3
119     1       0       0       0       5       3
120     1       0       0       0       5       3
121     1       0       0       0       5       3
122     1       0       0       0       5       3
123     1       0       0       0       5       3
124     1       0       0       0       5       3
125     1       3       0       0       0       4
126     1       3       5       0       0       4
127     1       3       5       0       0       4
128     1       3       5       0       0       4
129     1       0       5       0       3       4
130     1       0       5       0       3       4
131     1       0       5       0       3       4
132     1       0       5       0       3       4
133     1       0       5       0       3       4
134     1       0       5       0       3       4
135     1       0       5       0       3       4
136     1       0       5       0       3       4
137     1       0       5       0       3       4
138     1       0       5       0       3       4
139     1       0       5       0       3       4
140     1       0       5       0       3       4
141     1       3       5       0       0       4
142     1       3       5       0       0       4
143     1       3       5       4       0       6
144     1       3       5       4       0       6
145     1       3       5       0       0       6
146     1       3       5       0       0       6
147     1       0       5       0       0       6
148     1       0       5       0       0       6
149     1       0       5       0       0       6
150     1       0       5       0       0       6
151     1       0       5       0       0       6
152     1       0       5       0       0       6
153     1       0       5       0       0       6
154     1       0       5       0       0       6
155     1       0       5       0       0       6
156     1       0       5       0       0       6
157     1       0       5       0       0       6
158     1       0       5       0       0       6
159     1       0       5       0       0       6
160     1       0       5       0       0       6
161     1       6       5       0       0       4
162     1       6       0       0       0       4
163     1       6       0       0       0       4
164     1       6       0       0       0       4
165     1       6       0       0       0       4
166     1       6       0       0       0       4
167     1       0       0       0       6       4
168     1       0       0       0       6       4
169     1       0       0       0       6       4
170     1       0       0       0       6       4
171     0       0       0       0       6       4
172     0       0       0       0       6       4
173     0       0       0       0       6       4
174     0       0       0       0       6       4
175     0       0       0       0       6       4
176     0       0       0       0       6       4
177     4       0       0       0       6       5
178     4       0       0       0       6       5
179     4       6       0       0       0       5
180     4       6       0       0       0       5
181     4       6       0       0       0       5
182     4       6       0       0       0       5
183     4       6       0       0       0       5
184     4       6       0       0       0       5
185     0       6       0       0       0       5
186     0       6       0       0       0       5
187     0       6       0       0       0       5
188     0       6       0       0       0       5
189     0       0       0       0       6       5
190     0       0       0       0       6       5
191     0       0       0       0       6       5
192     0       0       0       0       6       5
193     0       0       0       0       6       3
194     0       0       0       0       6       3
195     0       0       0       0       6       3
196     0       0       0       0       6       3
197     0       0       0       0       6       3
198     0       0       0       0       6       3
199     0       0       0       0       6       3
200     0       0       0       0       6       3
201     0       0       0       0       6       3
202     0       0       0       0       6       3
203     0       0       0       0       6       3
204     0       0       0       0       6       3
205     0       0       0       0       6       3
206     0       0       0       0       6       3
207     6       0       0       0       0       3
208     6       0       0       0       0       3
209     6       0       0       0       0       3
210     6       0       0       0       0       3
211     3       0       0       0       6       4
212     3       0       0       0       6       4
213     3       0       0       0       6       4
214     3       0       0       0       6       4
215     3       0       0       0       6       4
216     3       0       0       0       6       4
217     0       0       0       0       6       4
218     0       0       0       0       6       4
219     0       0       0       0       6       4
220     0       0       0       0       6       4
221     0       0       0       0       6       4
222     0       0       0       0       6       4
223     0       0       0       0       6       4
224     0       0       0       0       6       4
225     0       0       0       0       6       4
226     0       0       0       0       6       4
227     0       0       0       0       6       4
228     0       0       0       0       6       4
229     0       0       0       0       0       3
230     0       0       0       0       0       3
231     0       0       0       0       0       3
232     0       0       0       0       0       3
233     0       0       0       0       0       3
234     0       0       0       0       0       3
235     0       0       0       0       0       3
236     0       0       0       0       0       3
237     0       0       0       0       0       3
238     0       0       0       0       0       3
239     0       0       0       0       0       3
240     0       0       0       0       0       3
241     0       0       0       0       0       3
242     0       0       0       0       0       3
243     0       0       0       0       0       3
244     0       0       0       0       0       3
245     3       0       0       0       0       1
246     3       0       0       0       0       1
247     3       0       0       0       0       1
248     3       0       0       0       0       1
249     3       0       0       0       0       1
250     3       0       0       0       0       1
251     3       0       0       0       0       1
252     3       0       0       0       0       1
253     3       0       0       0       0       1
254     3       0       0       0       0       1
255     0       0       0       0       0       1
256     0       0       0       0       0       1
257     0       0       0       0       0       1
258     0       0       0       0       0       1
259     0       0       0       0       0       1
260     0       0       0       0       0       1
261     0       0       0       0       0       1
262     0       0       0       0       0       1
263     0       0       0       0       0       1
264     0       0       0       0       0       1
265     1       0       0       0       0       3
266     1       0       0       0       0       3
267     1       0       0       0       0       3
268     1       0       0       0       0       3
269     1       0       0       0       0       3
270     1       0       0       0       0       3
271     1       0       0       0       0       3
272     1       0       0       0       0       3
273     1       0       0       0       0       3
274     1       0       0       0       0       3
275     1       0       0       0       0       3
276     1       0       0       0       0       3
277     1       0       0       0       0       3
278     1       0       0       0       0       3
279     1       0       0       0       0       3
280     1       0       0       0       0       3
281     1       0       0       0       0       0
282     1       0       0       0       0       0
283     1       0       0       0       0       0
284     1       0       0       0       0       0
285     1       0       0       0       0       0
286     1       0       0       0       0       0
287     1       0       0       0       0       0
288     1       0       0       0       0       0
289     1       0       0       0       0       0
290     1       0       0       0       0       0
291     1       0       0       0       0       0
292     1       0       0       0       0       0
293     1       0       0       0       0       0
294     1       0       0       0       0       0
295     1       0       0       0       0       0
296     1       0       0       0       0       0
297     1       0       0       0       0       0
298     1       0       0       0       0       0
299     1       0       0       0       0       0
300     1       0       0       0       0       0
301     1       0       0       0       0       0
302     1       0       0       0       0       0
303     1       0       0       0       0       0
304     1       0       0       0       0       0
305     1       0       0       0       0       0
306     1       0       0       0       0       0
307     1       0       0       0       0       0
308     1       0       0       0       0       0
309     1       0       0       0       0       0
310     1       0       0       0       0       0
311     1       0       0       0       0       0
312     1       0       0       0       0       0
313     0       0       0       0       1       0
314     0       0       0       0       1       0
315     0       0       0       0       1       0
316     0       0       0       0       1       0
317     0       0       0       0       1       0
318     0       0       0       0       1       0
319     0       0       0       0       1       0
320     0       0       0       0       1       0
321     0       0       0       0       1       0
322     0       0       0       0       1       0
323     0       0       0       0       1       0
324     0       0       0       0       1       0
325     1       0       0       0       0       0
326     1       0       0       0       0       0
327     1       0       0       0       0       0
328     1       0       0       0       0       0
329     1       0       0       0       0       0
330     1       0       0       0       0       0
331     1       0       0       0       0       0
332     1       0       0       0       0       0
333     1       0       0       0       0       0
334     1       0       0       0       0       0
335     1       0       0       0       0       0
336     1       0       0       0       0       0
337     1       0       0       0       0       0
338     1       0       0       0       0       0
339     1       0       0       0       0       0
340     1       0       0       0       0       0
341     1       0       0       0       0       0
342     1       0       0       0       0       0
343     1       0       0       0       0       0
344     1       0       0       0       0       0
345     1       0       0       0       0       0
346     1       0       0       0       0       0
347     1       0       0       0       0       0
348     1       0       0       0       0       0
349     0       0       0       0       0       1
350     0       0       0       0       0       1
351     0       0       0       0       0       1
352     0       0       0       0       0       1
353     0       0       0       0       0       1
354     0       0       0       0       0       1
355     0       0       0       0       0       1
356     0       0       0       0       0       1
357     0       0       0       0       0       1
358     0       0       0       0       0       1
359     0       0       0       0       0       1
360     0       0       0       0       0       1
361     0       0       0       0       0       1
362     0       0       0       0       0       1
363     0       0       0       0       0       1
364     0       0       0       0       0       1
365     0       0       0       0       0       1
366     0       0       0       0       0       1
Время до завершения всех процессов: 366
Время обслуживания процесса 1: 284
Время обслуживания процесса 2: 74
Время обслуживания процесса 3: 152
Время обслуживания процесса 4: 76
Время обслуживания процесса 5: 148
Время обслуживания процесса 6: 108
Время оборота процесса 1: 365
Время оборота процесса 2: 79
Время оборота процесса 3: 275
Время оборота процесса 4: 221
Время оборота процесса 5: 183
Время оборота процесса 6: 217
Время простоя 1: 81
Время простоя 2: 5
Время простоя 3: 123
Время простоя 4: 145
Время простоя 5: 35
Время простоя 6: 109
Коэффициент голодания 1: 1.2852112676056338
Коэффициент голодания 2: 1.0675675675675675
Коэффициент голодания 3: 1.8092105263157894
Коэффициент голодания 4: 2.9078947368421053
Коэффициент голодания 5: 1.2364864864864864
Коэффициент голодания 6: 2.009259259259259
